Index,station,COMID
0,JAIT2,1479611
1,JBAT2,1479729
2,JKJT2,1477457
3,JLGT2,1479297
4,JPTT2,1479299
5,JTWT2,1142872
6,JYDT2,1479729
7,JYHT2,1479455
8,JYIT2,1479661
9,JYJT2,1143208
10,JYKT2,1143210
11,JYLT2,1142726
12,JYMT2,1143214
13,JYNT2,1142902
14,JYPT2,1479883
15,JYQT2,1479483
16,JYRT2,1479429
17,JYTT2,1475431
18,JYXT2,1523925
19,JZAT2,1143102
20,JZDT2,1142874
21,JZFT2,1475141
22,JZGT2,1475173
23,JZHT2,1475647
24,JZKT2,1475149
25,JZNT2,1475569
26,JZQT2,1479315
27,JZVT2,1479329
28,JZWT2,1479335
29,JZYT2,1479739
